defense,attack,agility,stamina,class
5.5446067955,3.8559350828,5.5996386209,5.5025749668,defender
1.4986204696,1.2447326365,5.9773640535,1.835126345,defender
5.9523193319,4.6267992458,3.3289845674,1.4014553479,defender
4.7467616424,4.4616321442,5.0777615248,1.9402511478,demon hunter
4.0890641175,4.4761484456,2.1685412144,5.9628268997,wizard
3.7927118284,4.8575944235,1.455192097,5.8522455501,wizard
1.3365058755,5.7075866954,4.64943519,2.4938582201,demon hunter
1.4491360136,1.3831898142,2.6698703705,3.8311404842,wizard
3.1491635591,2.1943778512,3.9390290147,5.0558741707,defender
2.8737627822,5.3165633804,3.689053209,1.492365195,demon hunter
3.0595337218,1.6870123697,3.4007429858,5.7473930707,defender
5.9579681712,3.6426853868,1.6450940156,1.4747890867,defender
3.3820044682,2.7659737449,5.5245074807,1.1078885305,defender
2.9067106093,3.5523837912,1.5226031295,1.0218873541,demon hunter
3.1934895054,5.6274319733,5.3983869208,1.2282900666,demon hunter
3.6878593466,5.2709558015,1.2419423987,1.8977009449,wizard
1.5168209132,3.6938204886,5.0624926798,4.1746461033,demon hunter
2.1573523446,1.7415493182,2.7337546218,1.1760121481,defender
4.1151767448,5.6411057143,5.1048288438,5.3764995644,wizard
4.0348005611,3.2463308088,5.9181764596,3.4607631424,defender
4.6186024128,3.7429703414,3.9979591607,2.9083777908,defender
3.6578251901,4.463531856,2.6790566384,4.5591085185,wizard
5.0186598036,2.64045515,1.0322191231,5.3484953302,defender
3.7258840622,1.1407368644,4.0278763105,1.4147145967,defender
5.4259625813,2.3722716039,3.8247938794,1.5371960159,defender
4.2897753757,5.9448890053,2.2729966408,4.3335646079,wizard
4.209841596,2.2458651117,3.4518780876,4.1647917349,defender
1.3298355266,2.0854289122,1.1085177413,4.679380978,wizard
3.6888305345,3.9744398803,2.6132294037,4.6901142448,wizard
2.2613228196,4.3936948469,4.141501965,1.5416768952,demon hunter
1.0437892321,4.2649525907,5.9728684709,5.1183134797,demon hunter
5.9549501366,2.4119600761,2.0116537684,4.5142649035,defender
1.9012833284,1.5551279453,5.9613985093,2.4731106046,defender
2.0012837104,4.2868829393,2.7804654432,5.4513877179,wizard
5.2803540733,2.0322677344,4.2307696389,3.2831169842,defender
2.1112334346,2.9175037718,3.1200951259,1.7358006225,demon hunter
4.5593147669,5.48932325,5.5434741769,2.4471336058,demon hunter
1.5718272761,5.7747075814,2.1240304005,4.6354071368,wizard
4.3495454513,2.6034016223,3.865922139,3.9338484234,defender
4.0027629109,1.0789656979,4.6867341306,5.8369781394,defender
5.6245671879,4.1262854603,2.1448574648,5.2370678484,defender
5.0745242476,2.6899975459,2.4390916051,2.8933402887,defender
4.0635798606,4.57483787,1.4793712217,5.2305150023,wizard
5.5843029721,5.3978820858,1.4209608003,4.8466170174,wizard
4.4501040075,1.993471134,5.2518022913,4.779381921,defender
5.6125006583,1.9482387872,1.5451400811,3.2020237567,defender
3.8188160411,2.8693172187,4.0502316449,3.6501338882,defender
3.8878188389,2.0825040238,1.2312334022,5.6768967947,defender
5.2623140453,5.0522219217,1.5725103314,1.4051852738,demon hunter
1.3292779112,3.0092917769,1.8271634066,5.9073522096,wizard
2.8342152284,5.54560149,5.4395513274,2.3078793231,demon hunter
5.8313178471,2.0185016179,4.0322723789,3.5810995139,defender
2.7890779558,2.9810758345,4.3436044655,1.8024744247,demon hunter
2.1669351417,2.0094651021,4.918510864,2.190445798,demon hunter
5.5780742983,5.8249234515,4.7184380833,5.5321991178,wizard
5.4736640947,1.0668991683,2.5086874575,5.2372607579,defender
3.5895230961,2.8705772539,2.3241771376,1.8482078882,defender
5.0133964689,5.1858593049,3.6658606366,4.1160364393,wizard
1.0235106563,4.2528489409,1.1337110554,5.3820645334,wizard
2.1428712285,2.2770559895,2.4367814432,1.4219781328,demon hunter
5.7635966633,3.5226239278,1.361889794,3.0869163796,defender
4.2586847921,3.9607405933,5.6943244804,3.1840644884,demon hunter
3.7497816645,1.7705763378,4.9488034556,1.7625049516,defender
5.3585538748,3.8900222853,2.1433449341,3.0547169098,defender
5.2791069043,4.3010183065,4.3881420083,4.2964599505,defender
5.9541248195,5.6487406408,2.348461085,2.9764883397,wizard
4.9253796963,5.7890410712,2.0762518551,2.7647389672,wizard
4.0127232871,4.2428201311,1.2370558493,2.9033556827,wizard
5.1026399704,1.8376513515,1.5869883043,3.0176746161,defender
5.0173530462,2.6531065106,2.2605986325,4.0520011345,defender
3.0223635202,1.1148560201,2.1741628405,4.3854014543,defender
3.3233197164,1.7360608643,3.5988507993,3.6074081007,defender
4.8906323956,1.8598198392,1.6005955022,4.6836326215,defender
3.9150346457,4.5209025233,3.303033981,5.1256703157,wizard
3.696163035,2.3890846167,3.1576733724,2.3334250962,defender
2.3630379317,3.208463694,5.5618980215,5.213449345,demon hunter
1.2840883844,4.189318832,3.1901902719,4.4688437544,wizard
3.8393592685,4.2236822159,3.1665682737,4.4723168821,wizard
2.21063567,5.1752605094,5.0860506357,4.0320030567,demon hunter
4.6372620612,3.6282684272,5.4954331382,5.9271735363,defender
