defense,attack,agility,stamina,class
3.1325250645,2.2361658877,5.6334069152,2.537837605,defender
2.2764960993,5.9300404405,2.2808713457,4.0587076326,wizard
2.3621582533,5.9685168779,1.1441312232,4.5632230574,wizard
4.8613986946,5.789365374,4.5854303022,4.3044360951,demon hunter
3.2067557112,1.6227079965,5.8242186476,4.8046847028,defender
1.2785101719,1.1756773447,2.0506481351,1.8509625006,demon hunter
4.1124793994,5.7369143809,5.6161616594,5.0300069936,demon hunter
1.2580515225,1.0154068018,4.0282084853,2.3118814328,defender
4.0130130658,3.7588455146,5.8913705791,2.2422443344,demon hunter
1.8756512497,5.2491789535,5.179219394,2.4292081841,demon hunter
5.487915819,3.1521473513,2.2037630938,1.7790686749,defender
3.1206642292,1.460090742,3.3866387527,5.2449901928,defender
5.0233137994,1.8500740724,1.0222134986,2.36241609,defender
1.6394394464,3.2647954547,1.5692315497,3.884712494,wizard
4.5074204905,5.2248697486,5.4005470932,3.7759872633,demon hunter
4.6269497639,4.7859306647,4.5228450457,1.4511952284,demon hunter
5.4812022219,2.7394291633,1.6064922246,3.7036165236,defender
2.7548359651,4.139006705,1.8978522196,5.7392537445,wizard
1.9814980812,5.7678490309,5.0170279844,1.7892227988,demon hunter
3.2184309852,2.8571493309,5.0092966822,4.1962473784,demon hunter
4.6563381203,2.7063468043,3.6892878301,2.6006962303,defender
3.5564208766,2.1299609137,3.6054667286,4.60412776,defender
4.3947563684,3.6796519198,1.5643644137,4.195860323,wizard
3.4207300716,4.9639879181,2.7399751814,5.0717849066,wizard
3.8577155713,2.8212771649,2.3752947515,3.3143962026,defender
3.2724723932,1.3669249453,3.2642446822,2.2266675616,defender
3.1063541085,2.380560617,1.8168680104,2.1996060121,defender
5.5195673243,2.7536746152,3.5400661468,5.6168988966,defender
2.492928362,4.8611900737,4.6290391046,1.417419544,demon hunter
2.2066423451,3.4744264432,5.3315757741,3.6460670889,demon hunter
1.8423144696,4.4250733303,1.1314201346,4.3408724586,wizard
5.4708333723,5.49865259,3.1783045121,3.6878410112,wizard
1.8837013342,3.8655897407,2.8295776588,3.7426689258,wizard
2.8144538323,4.3044314058,1.1257085707,4.5695528425,wizard
4.9364777878,5.6721694036,2.0527300229,3.3981809639,wizard
5.1518555791,2.0428318987,5.3575389311,1.3482533875,defender
5.9040219723,1.5722973472,2.6132301139,2.2932589534,defender
1.9897168912,1.6447839411,5.3841817859,4.3867155481,defender
4.1192103843,4.5330610792,2.1791281682,3.1963592363,wizard
1.6214325665,3.4507861608,1.7916586194,3.0214426378,wizard
2.5200952301,1.7528527011,4.6235207389,5.2084004357,defender
4.4406937123,1.2624919917,3.1914002509,2.6517292242,defender
4.1280817324,4.6983997421,2.4410686679,5.3243950466,wizard
3.6288264524,5.9576593912,4.5272122337,4.2555225026,demon hunter
3.9276919062,3.7545350231,1.1527159871,3.4636900239,wizard
4.5065219225,4.9804219292,5.5527192764,5.3045715685,demon hunter
5.9493555096,4.4105438949,1.5202818685,4.3951633447,defender
2.9436049741,1.5424361699,3.4307978991,3.9069206212,defender
3.7387954062,4.0685658962,1.519352057,4.1227331446,wizard
1.1441757823,4.3602279751,5.1130806762,2.3110106764,demon hunter
2.5735026682,2.6642710124,1.3626707545,3.5537743908,wizard
2.8781694374,5.7015844006,5.6592437918,2.8037394248,demon hunter
1.0592619274,5.5069958922,3.2615309153,4.1864560279,wizard
1.6501460518,3.9869538336,2.9673757651,3.4142469047,wizard
2.7188184732,5.1566679743,3.5672118692,2.5200950415,demon hunter
3.0625312114,2.6681739828,5.736739879,5.5108168456,demon hunter
3.6335499901,5.8013266199,4.161554595,1.256091936,demon hunter
2.5671026125,3.7777257725,5.4419967872,3.2746352712,demon hunter
5.828409662,4.1406052806,3.6401535375,3.4530114001,defender
3.8421896813,5.8046675418,2.6084069666,2.7065791017,wizard
2.2135749939,3.5014334754,1.6878895033,2.6676688939,wizard
5.6546227299,4.4751059092,5.2693367111,4.2466457621,defender
1.8893528138,2.3380355551,1.4947035294,2.621998495,wizard
4.1420935364,3.608171287,5.2763452721,4.0619153986,demon hunter
3.5727322442,1.2046247502,1.1566279237,2.9586245413,defender
1.0059513701,5.0130851511,5.2691770894,1.2062822343,demon hunter
3.9840080091,4.1675059651,1.4421412363,1.8362797019,wizard
4.9768849849,3.4260047963,5.8473419924,3.7620946523,defender
3.230672338,1.2705509006,1.5627523013,2.2226367462,defender
2.9771300023,2.8190746661,5.3205081415,4.8390793069,demon hunter
1.5067482009,4.1907049962,2.6658109054,1.0083976449,demon hunter
2.3464331999,1.1613709307,1.0764908572,3.8269969858,defender
2.7833694257,3.5551637216,1.1633350085,2.8411367293,wizard
5.9030521302,5.9254629645,1.1300877146,5.4396802806,wizard
4.452765434,3.4757843744,3.4493043078,1.8933588676,defender
3.682066611,1.1360390848,5.0266029979,5.9893704546,defender
4.3035450499,3.7219425235,4.5582222254,1.6660746201,demon hunter
4.0920794164,4.7456862861,5.0162371867,3.5351072103,demon hunter
5.3541818787,1.3227517544,1.5102577666,4.384141929,defender
5.1618310614,1.9933671891,1.3376238421,3.1234878805,defender
5.1840721853,4.6746900203,4.6830876675,5.6685792645,wizard
5.8299501953,1.849883093,5.6774008847,5.7218056303,defender
4.4050468146,1.0295208674,1.5102034286,4.3009216236,defender
2.8706575991,2.6133196233,2.5387825877,4.5683818231,wizard
4.0080621061,2.7737097293,4.930206066,3.7016036795,defender
5.2494941037,2.6688703024,5.9526508478,5.4504879345,defender
2.8049093871,2.4608275401,5.1827700636,2.9315607147,demon hunter
3.5976353348,1.108454437,2.0967670241,3.383448747,defender
4.8541407231,3.740992289,3.3574085557,4.7369205616,defender
1.2760995016,1.6897147512,2.012466508,3.8703779122,wizard
4.8637451013,5.6302813804,4.3049714006,1.1742975693,demon hunter
5.8428768339,4.0478172889,5.8364601471,2.6267452668,defender
4.8977003819,2.9880590681,2.9835663261,5.9930880708,defender
3.0175799378,5.6728270315,2.2861466547,3.3027471965,wizard
1.8711290197,4.8882375369,1.6619472662,3.8249292425,wizard
5.4937995449,4.8791911257,1.3400186659,5.9114413699,wizard
2.843002087,2.298708932,4.5853698081,2.8309083185,defender
2.407163369,5.5227887295,3.2637810209,5.4406374218,wizard
1.1303521753,1.2613040921,4.1316820043,3.5398805225,demon hunter
3.1701619029,2.1428186833,3.7551827254,5.1481221095,defender
2.3171162526,2.9954271079,1.0432443968,1.4751333036,wizard
3.463192374,2.1599930888,4.0535450648,3.8316735826,defender
1.8328201203,4.9409447787,2.2436919753,5.4807723118,wizard
4.3690098487,3.118966775,2.9751190953,1.5028493749,defender
5.9438960175,3.1148209949,4.7250324502,2.0017220932,defender
1.994012123,5.0309571149,4.9423984848,5.4376955624,wizard
1.7364044944,2.3340307889,1.8568195207,1.7854005718,demon hunter
1.2260379959,3.1435678634,3.4048719555,4.1206005416,wizard
1.6604810641,1.3563901712,1.4922198295,5.2352902167,defender
2.4992088545,1.5365539622,5.3858640245,1.8298436739,defender
3.5319810701,3.830642967,4.3057762706,3.8163251071,demon hunter
4.9763181959,3.5752254669,2.3587780972,5.0632649092,defender
2.5161702456,1.7689686446,1.5516493041,2.8689815258,defender
1.2497409564,5.8091383162,2.9281050912,3.7598622208,wizard
5.8746832157,4.618750805,3.3641865328,5.4818553701,defender
3.6497079199,2.8720011087,5.5705852052,3.3168373806,defender
2.3096966711,1.8686953387,4.9323433046,1.6673522294,defender
3.2027261299,2.592106407,5.7002861276,2.2897518603,defender
3.3775069788,3.0461011655,5.1896690289,4.0595456506,demon hunter
2.1801461922,3.6035449747,3.9599351459,2.5945409867,demon hunter
3.1310949489,2.8406272563,5.6712702233,5.4591440004,demon hunter
3.2754691099,5.6630760189,3.2383014858,3.9770464939,wizard
4.7460151408,2.2517873058,5.4042727933,5.536746277,defender
2.0609256243,4.7544717314,2.5143339522,4.9957560971,wizard
3.6145069045,3.9890307155,5.8610318266,2.389017168,demon hunter
3.257712509,1.2642148244,3.9164971272,2.3878391194,defender
2.8563212315,2.1707284977,5.5298343478,2.5018669353,defender
4.2168296655,5.4604386389,3.5199842895,5.2338282126,wizard
2.8373731873,3.4064986943,5.001039681,4.7001304817,demon hunter
1.5407577381,5.7973083355,5.256452336,2.1321346299,demon hunter
1.7952106488,1.2120279614,4.2187474379,3.2850170732,defender
4.1890744553,2.5319214459,1.6499890448,2.272292505,defender
3.783708754,4.0335121346,2.7879838659,2.9350895961,wizard
1.9308456955,4.8446343783,2.8336650939,4.3023178182,wizard
5.6913349885,4.5453526,1.1166906557,3.6251081424,defender
4.8095674245,2.6946969205,2.7751418799,4.8417231082,defender
3.8654254205,2.9490474975,4.6268302356,3.2673617094,defender
2.4094861364,1.6658886583,4.0770133249,4.0126942601,defender
5.8997168709,2.0822550859,4.0972053832,5.4357914245,defender
4.4887537803,4.9294704259,3.6296009077,2.7370900582,demon hunter
2.5343983937,3.4897934636,4.6219280935,4.1703586457,demon hunter
4.3823866071,1.790850732,3.0759591693,4.6488546873,defender
3.3227721779,5.4171387446,3.4506508792,2.5714610624,demon hunter
4.5065506608,1.1064809319,2.3047729502,5.4401457021,defender
4.9511153102,5.2386347475,3.5409525656,5.4373963564,wizard
3.9827489564,1.7847804064,4.1307100574,1.8753581578,defender
3.4794773269,3.2322875541,5.1813350515,2.7923163809,demon hunter
3.4582050391,1.3449027473,2.7569830827,3.0630533621,defender
2.4271578332,1.5908211879,2.5427103871,2.4572692127,defender
5.5202916139,3.35792191,4.3528052224,1.9469831805,defender
5.0950119705,5.9159116158,3.4057050794,3.1498925216,demon hunter
1.3202511673,1.6294103642,2.4202610962,2.0276331729,demon hunter
1.4447719175,4.7026377744,1.2740988391,4.7430332764,wizard
4.8495142083,3.895422799,1.9940154897,2.2693023495,defender
3.1340575465,4.7806495,4.2180458563,3.8006295208,demon hunter
4.5854099272,5.6750101121,2.9072976685,2.2007948128,demon hunter
3.9931111936,2.064887254,3.3348222999,1.5238498375,defender
2.4097900037,2.0886327201,2.6794539103,1.4513162351,demon hunter
3.8092381451,3.8369478369,3.7528594527,2.1997455242,demon hunter
4.3496380481,2.9042501156,3.7711692848,1.5535697402,defender
3.5336604821,1.1585645322,3.808866913,4.4211583319,defender
2.1861977074,4.6698892154,3.3725269921,4.9539215784,wizard
3.6969548548,2.630969625,2.8258622452,3.9255575687,defender
5.526392424,3.6466258313,2.0462664743,4.6010041251,defender
2.4272753312,2.5464690654,5.3470985861,2.6604499705,demon hunter
2.335460085,5.6453211876,1.8461160003,3.9325085133,wizard
4.9973957674,4.2427577535,5.3313904735,4.839227194,demon hunter
5.2905434291,1.407185771,2.7672806769,5.6730967099,defender
4.2441336103,2.0108443839,1.8683658345,5.8442940041,defender
3.2105899104,3.0997815765,5.0040316922,1.996993063,demon hunter
2.1555575975,1.5602279585,3.6857909723,4.96557122,defender
5.2301171739,2.5376921743,5.2800854286,5.7617501416,defender
1.491613755,3.341755305,4.9727249299,2.602644166,demon hunter
5.2492699972,4.1885686098,3.6144259074,1.5848583789,defender
5.7350376751,4.4991173563,5.2018958461,1.7451359672,defender
1.1595673268,1.6765453285,1.321866516,5.0821362613,wizard
3.0146447746,2.4950274117,2.4602165367,1.9588789288,defender
5.7377851652,2.1679825163,3.8081893292,4.0029269261,defender
1.0072097126,2.0120405443,2.4192263153,5.0691756411,wizard
1.0800200249,5.2977531417,2.3975347183,5.6633599256,wizard
1.660352991,3.2906099353,3.8508378938,1.4015664128,demon hunter
2.9392585871,2.8159105885,5.1576658934,3.08095507,demon hunter
4.683599236,3.4308723421,3.4161481415,2.1609945539,defender
1.6194409542,4.1303908234,2.6295081796,3.9328692355,wizard
4.609414564,1.3544786293,4.9499101066,4.4101636312,defender
5.4366148929,2.7890755087,3.4302969035,2.2847324088,defender
4.2841029204,4.9312810823,1.0992635987,2.4512596675,wizard
