f1,f2,f3,f4,f5,n1,n2,class
1.004,3.3368747859,11.2956536262,0.3838552374,7.4294127776,5.614,5.661,A
7.308,55.9956271261,56.6986401834,0.1197028873,0.3294657425,5.538,4.124,A
0.84,0.9719717678,1.3726307326,0.4177804009,1.7448589075,5.236,9.603,C
6.973,10.64604801,11.9426558425,0.1311094488,5.7786578631,5.469,2.197,D
2.334,2.8977529914,3.1797821991,0.3561372253,1.0354299936,0.388,3.539,D
7.406,39.460696359,39.7236564105,0.0062518301,0.0065230557,5.774,9.44,A
9.333,10.4095253649,11.7661471963,0.1039436729,17.0511268175,1.924,0.509,D
9.574,15.9011209097,110.733540819,0.0962509856,0.1096987202,4.498,5.561,B
4.519,22.3491450028,89.9846084749,0.1386013233,0.1803428097,9.452,9.416,A
4.777,6.5804227037,7.525789883,0.1773404137,0.1907217694,5.921,1.997,E
5.32,16.2230972912,21.4374802438,0.0155833111,0.8345964805,7.413,7.153,A
4.789,6.1615815215,6.2930737215,0.1259415343,0.3326974664,5.995,8.359,D
7.284,33.4515654511,44.9696154222,0.1003924663,0.7214387136,0.572,6.409,A
9.569,81.1153290444,104.2780698003,0.0014263315,0.0037749242,5.98,8.816,A
9.548,10.9233748318,142.6185936773,0.1005860105,0.2883799869,6.015,4.813,B
8.241,33.8237245482,479.1456899841,0.0770708771,0.1184776472,5.674,3.948,A
5.406,31.1676164812,32.8264243834,0.1448497374,1.4045510675,6.594,6.276,A
2.239,2.3676708143,13.4808840514,0.2884088876,0.4677470321,9.293,8.232,B
1.986,2.1838067339,2.6614111073,0.1027547537,0.1442100834,5.037,6.777,C
0.752,0.9562392421,2.5110468295,0.9620741548,19.2346669418,5.224,6.823,B
6.735,8.8739980902,37.6849719908,0.0549651035,0.2586582101,0.496,5.918,B
8.189,8.36225229,36.2810154555,0.1123779182,0.6380437349,8.456,0.289,B
7.292,10.3865901343,1967.2546353696,0.0212480336,0.0258035965,9.342,9.781,B
3.412,5.2124847496,6.2702422738,0.0443258267,0.1881472505,3.326,8.757,C
5.126,6.868543771,161.2565047392,0.1312146983,0.1556841965,6.308,3.704,B
6.451,9.3824960556,15.2661335341,0.1056068149,0.1556191264,7.33,3.445,E
8.173,10.3740985337,17.1506165226,0.1188412985,0.3633881356,6.91,5.873,D
4.269,6.7263889362,8.4477623777,0.0935289502,0.1053106868,7.401,4.7,C
4.553,5.0365889926,6.5515770118,0.1366406486,0.1590038127,4.982,1.952,E
6.44,7.8410333813,727.3115191331,0.1093340032,0.1525416566,0.952,3.194,B
8.736,10.2894830034,15.4261817426,0.0453175896,0.1353211233,5.508,1.44,C
9.187,10.6342877153,111.6542072109,0.0865380971,0.1074192557,8.888,5.79,B
1.258,1.2860932455,1.7485196476,0.1819064318,0.1829272676,9.417,7.663,C
4.249,12.3756984885,13.1616252974,0.064415613,0.0977028759,3.164,9.833,A
9.04,418.7356513598,543.7952196579,0.0891825631,0.3163968907,9.374,6.001,A
6.947,7.3816400036,110.2087843244,0.0453272985,0.9631452862,1.418,9.21,B
4.847,4.9414618898,6.0871887939,0.12546887,0.1691966875,3.706,6.507,E
0.229,0.3460613475,9.8591981183,3.9669224496,38.9744065348,6.394,6.594,B
2.55,2.6240059944,11.1522946927,0.378470399,2.1026549638,5.235,1.339,B
1.04,1.2365764597,1.3352170935,0.7717977527,1.270880638,9.342,6.87,E
7.327,7.7387174633,8.8440730495,0.1199301689,0.4216372971,9.547,3.553,D
8.594,11.1261154825,17.4348382545,0.1116973289,0.7206528455,1.046,5.783,D
4.888,6.0299183346,8.6235783644,0.179089211,0.4510847661,6.883,8.285,D
